id,skill,invocation,should_trigger,fixture,run_mode,prompt,checks_json,notes
EV-001,agents-bootstrap,explicit,true,node_verify,workspace-write,$agents-bootstrap,"[""file_exists:AGENTS.md"", ""file_exists:openspec/AGENTS.override.md"", ""file_contains:AGENTS.md:BEGIN MANAGED: agents-bootstrap"", ""writes_only:AGENTS.md,openspec/**"", ""no_web_search""]",""
EV-002,agents-bootstrap,implicit,true,node_verify,workspace-write,"Create an AGENTS.md policy for this repository and an OpenSpec override under openspec/ that enforces a single gate command.","[""file_exists:AGENTS.md"", ""file_exists:openspec/AGENTS.override.md"", ""writes_only:AGENTS.md,openspec/**"", ""no_web_search""]",""
EV-003,agents-bootstrap,negative,false,node_verify,workspace-write,"Without creating or modifying any files, describe what should go into AGENTS.md and openspec/AGENTS.override.md for this repo. Output guidance only.","[""no_writes"", ""file_not_exists:AGENTS.md"", ""file_not_exists:openspec/AGENTS.override.md"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: references the same artifacts (AGENTS policy + OpenSpec override) but asks for explanation only, not generation."

EV-004,repo-env-vars-bootstrap,explicit,true,env_readme,workspace-write,$repo-env-vars-bootstrap,"[""file_exists:.env.example"", ""file_contains:.env.example:FEATURE_FLAG_BETA"", ""writes_only:.env.example"", ""no_web_search""]",""
EV-005,repo-env-vars-bootstrap,implicit,true,env_readme,workspace-write,"Generate a .env.example for this repo based on documented environment variables in README. Keep it minimal and do not add secrets.","[""file_exists:.env.example"", ""writes_only:.env.example"", ""no_web_search""]",""
EV-006,repo-env-vars-bootstrap,negative,false,env_readme,workspace-write,"List the environment variables documented in README.md and briefly describe each. Do not create .env.example or modify any files.","[""no_writes"", ""file_not_exists:.env.example"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same input (README env vars) but asks for a summary, not generating .env.example."

EV-007,repo-gates-bootstrap,explicit,true,empty_git,workspace-write,$repo-gates-bootstrap,"[""file_exists:package.json"", ""file_contains:package.json:verify"", ""writes_only:package.json"", ""no_web_search""]",""
EV-008,repo-gates-bootstrap,implicit,true,empty_git,workspace-write,"Add a single verification gate command for this repo: `npm run verify`. If package.json is missing, create the minimal one.","[""file_exists:package.json"", ""file_contains:package.json:verify"", ""writes_only:package.json"", ""no_web_search""]",""
EV-009,repo-gates-bootstrap,negative,false,empty_git,workspace-write,"Explain what a single verification gate is (e.g., `npm run verify`) and why it's useful. Do not create or modify package.json or any files.","[""no_writes"", ""file_not_exists:package.json"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: discusses the gate concept and the exact command but requests explanation-only."

EV-010,spec-bootstrap,explicit,true,empty_git,workspace-write,$spec-bootstrap,"[""dir_exists:openspec"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-011,spec-bootstrap,implicit,true,empty_git,workspace-write,"Initialize an OpenSpec folder layout under openspec/ suitable for deterministic agentic changes. Do not touch unrelated files.","[""dir_exists:openspec"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-012,spec-bootstrap,negative,false,empty_git,workspace-write,"Describe the expected OpenSpec folder layout (what folders/files would exist under openspec/) for a deterministic workflow. Do not create the openspec/ directory or modify any files.","[""no_writes"", ""dir_not_exists:openspec"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: requests the same outcome description as spec-bootstrap, but explicitly forbids materializing it in the repo."

EV-013,spec-spec-from-readme,explicit,true,tt_scaffold,workspace-write,"Run $spec-spec-from-readme using the existing change slug 'eval-spec-from-readme'. Populate openspec/changes/eval-spec-from-readme/specs/mini-spec.md from README.md. Do not create additional change folders.","[""file_exists:openspec/changes/eval-spec-from-readme/specs/mini-spec.md"", ""file_contains:openspec/changes/eval-spec-from-readme/specs/mini-spec.md:# Mini-SPEC"", ""file_contains:openspec/changes/eval-spec-from-readme/specs/mini-spec.md:item of the day"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-014,spec-spec-from-readme,implicit,true,tt_scaffold,workspace-write,"From README.md, fill the existing OpenSpec Mini-SPEC at openspec/changes/eval-spec-from-readme/specs/mini-spec.md. Capture all explicit v1 requirements only. Do not invent APIs. Do not add new folders.","[""file_exists:openspec/changes/eval-spec-from-readme/specs/mini-spec.md"", ""file_contains:openspec/changes/eval-spec-from-readme/specs/mini-spec.md:item of the day"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-015,spec-spec-from-readme,negative,false,tt_scaffold,workspace-write,"Summarize the key v1 requirements from README.md in plain text. Do not modify openspec/changes/eval-spec-from-readme/specs/mini-spec.md and do not create new files.","[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same input and intent (extract requirements) but asks for a summary output instead of updating the Mini-SPEC file."

EV-016,spec-new-change-from-templates,explicit,true,with_openspec_templates,workspace-write,"Run $spec-new-change-from-templates with slug 'eval-new-change' (mode=missing). Create proposal.md, tasks.md, and specs/* from templates. Do not touch unrelated files.","[""dir_exists:openspec/changes/eval-new-change"", ""file_exists:openspec/changes/eval-new-change/proposal.md"", ""file_exists:openspec/changes/eval-new-change/tasks.md"", ""file_exists:openspec/changes/eval-new-change/specs/mini-spec.md"", ""file_exists:openspec/changes/eval-new-change/specs/spec.md"", ""file_exists:openspec/changes/eval-new-change/specs/spec-delta.md"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-017,spec-new-change-from-templates,implicit,true,with_openspec_templates,workspace-write,"Create a new OpenSpec change folder under openspec/changes/ using the templates in this repo. Use slug 'eval-new-change-2'. Include proposal.md and tasks.md, plus specs/spec.md and specs/mini-spec.md.","[""dir_exists:openspec/changes/eval-new-change-2"", ""file_exists:openspec/changes/eval-new-change-2/proposal.md"", ""file_exists:openspec/changes/eval-new-change-2/tasks.md"", ""file_exists:openspec/changes/eval-new-change-2/specs/mini-spec.md"", ""file_exists:openspec/changes/eval-new-change-2/specs/spec.md"", ""writes_only:openspec/**"", ""no_web_search""]",""
EV-018,spec-new-change-from-templates,negative,false,with_openspec_templates,workspace-write,"List the template files under openspec/templates and explain what each template is for. Do not create any new folder under openspec/changes/ and do not modify files.","[""no_writes"", ""dir_not_exists:openspec/changes/eval-new-change"", ""dir_not_exists:openspec/changes/eval-new-change-2"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: operates on the same templates/context but asks for an explanation-only inventory, not creating a change."

