id,skill,invocation,should_trigger,fixture,run_mode,prompt,checks_json,notes
EV-101,spec-spec-fix,explicit,true,openspec_bad_change,workspace-write,"$spec-spec-fix Minimal-fix openspec/changes/demo-change/specs/mini-spec.md to pass strict spec-spec-lint: remove ASSUMED from Traceability, replace the '(TODO)' placeholder in Open questions / decisions with a real Q-1 or D-1 entry, and add a 'Source:' line to each R-* item. Write ONLY the corrected spec back to openspec/changes/demo-change/specs/mini-spec.md. No code changes. No commands.","[""file_exists:openspec/changes/demo-change/specs/mini-spec.md"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:## Traceability"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:Source:"", ""file_not_contains:openspec/changes/demo-change/specs/mini-spec.md:ASSUMED"", ""file_not_contains:openspec/changes/demo-change/specs/mini-spec.md:(TODO)"", ""writes_only:openspec/changes/demo-change/specs/mini-spec.md"", ""no_web_search""]",
EV-102,spec-spec-fix,implicit,true,openspec_bad_change,workspace-write,"This Mini-SPEC failed a strict lint. Apply the smallest edit set to make openspec/changes/demo-change/specs/mini-spec.md lint-clean: no ASSUMED in Traceability, no TODO placeholders, and each R-* includes a Source: line. Write ONLY the corrected spec to the same path.","[""file_exists:openspec/changes/demo-change/specs/mini-spec.md"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:Source:"", ""file_not_contains:openspec/changes/demo-change/specs/mini-spec.md:ASSUMED"", ""file_not_contains:openspec/changes/demo-change/specs/mini-spec.md:(TODO)"", ""writes_only:openspec/changes/demo-change/specs/mini-spec.md"", ""no_web_search""]",
EV-103,spec-spec-fix,contextual,true,openspec_bad_change,workspace-write,"Per openspec/specs/workflow.md we use strict specs (ASSUMED is forbidden). Minimal-fix openspec/changes/demo-change/specs/mini-spec.md accordingly: remove ASSUMED from traceability, replace TODO placeholders, and add Source: lines for each requirement. Write ONLY the corrected spec file back.","[""file_exists:openspec/specs/workflow.md"", ""file_exists:openspec/changes/demo-change/specs/mini-spec.md"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:Source:"", ""file_not_contains:openspec/changes/demo-change/specs/mini-spec.md:ASSUMED"", ""writes_only:openspec/changes/demo-change/specs/mini-spec.md"", ""no_web_search""]",
EV-104,spec-spec-fix,negative,false,openspec_bad_change,workspace-write,"Review openspec/changes/demo-change/specs/mini-spec.md and explain the minimal changes needed for strict spec-spec-lint to pass (no ASSUMED, no TODO placeholders, add Source: lines). Do NOT modify any files; output a short plan only.","[""no_writes"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:ASSUMED"", ""file_contains:openspec/changes/demo-change/specs/mini-spec.md:(TODO)"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same target file and same lint constraints, but asks for a plan only (no edits)."
EV-105,spec-tasks-fix,explicit,true,openspec_bad_change,workspace-write,$spec-tasks-fix Fix openspec/changes/demo-change/tasks.md with minimal edits to address this tasks lint: TLINT-1 missing Iteration 0 baseline; TLINT-2 missing gate command (use npm run verify); TLINT-3 AC-1 must be scheduled exactly once under a Done when section. Write ONLY the corrected tasks.md back to openspec/changes/demo-change/tasks.md. No code changes. No commands.,"[""file_exists:openspec/changes/demo-change/tasks.md"", ""file_contains:openspec/changes/demo-change/tasks.md:Iteration 0"", ""file_contains:openspec/changes/demo-change/tasks.md:npm run verify"", ""file_contains:openspec/changes/demo-change/tasks.md:AC-1"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
EV-106,spec-tasks-fix,implicit,true,openspec_bad_change,workspace-write,"Make openspec/changes/demo-change/tasks.md pass tasks lint with a minimal diff: add Iteration 0 (baseline + gate: npm run verify), ensure AC-1 appears exactly once in Done when, and keep the plan PR-sized. Write ONLY the corrected tasks.md.","[""file_exists:openspec/changes/demo-change/tasks.md"", ""file_contains:openspec/changes/demo-change/tasks.md:Iteration 0"", ""file_contains:openspec/changes/demo-change/tasks.md:npm run verify"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
EV-107,spec-tasks-fix,contextual,true,openspec_bad_change,workspace-write,"Using openspec/changes/demo-change/specs/mini-spec.md as the source of AC ids, minimally fix openspec/changes/demo-change/tasks.md so it includes Iteration 0 (baseline + npm run verify) and schedules every AC exactly once. Write ONLY the corrected tasks.md.","[""file_exists:openspec/changes/demo-change/specs/mini-spec.md"", ""file_contains:openspec/changes/demo-change/tasks.md:Iteration 0"", ""file_contains:openspec/changes/demo-change/tasks.md:AC-1"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
EV-108,spec-tasks-fix,negative,false,openspec_bad_change,workspace-write,"Read openspec/changes/demo-change/tasks.md and describe what you would change to make it pass tasks lint (add Iteration 0, add npm run verify gate, schedule AC-1 exactly once). Do NOT modify any files.","[""no_writes"", ""file_not_contains:openspec/changes/demo-change/tasks.md:Iteration 0"", ""file_contains:openspec/changes/demo-change/tasks.md:## Iteration 1"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: same lint intent, but requests explanation-only without touching tasks.md."
EV-109,core-gates-and-evidence,explicit,true,openspec_bad_change,workspace-write,"$core-gates-and-evidence Append a single evidence entry under '## Evidence log' in openspec/changes/demo-change/tasks.md for the gate command 'npm run verify'. You are in an eval fixture, so do NOT run commands; instead record an entry with Status: NOT_RUN (eval) and exit code: N/A. Do not change the iteration plan. Write ONLY to openspec/changes/demo-change/tasks.md.","[""file_exists:openspec/changes/demo-change/tasks.md"", ""file_contains:openspec/changes/demo-change/tasks.md:npm run verify"", ""file_contains:openspec/changes/demo-change/tasks.md:NOT_RUN (eval)"", ""file_contains:openspec/changes/demo-change/tasks.md:exit code:"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
EV-110,core-gates-and-evidence,implicit,true,openspec_bad_change,workspace-write,"Add one evidence log entry to openspec/changes/demo-change/tasks.md documenting the gate 'npm run verify' (command, status, short output snippet, exit code). Because this is an eval fixture, do not execute anything; mark it as NOT_RUN (eval) and exit code N/A. Write ONLY to tasks.md.","[""file_exists:openspec/changes/demo-change/tasks.md"", ""file_contains:openspec/changes/demo-change/tasks.md:NOT_RUN (eval)"", ""file_contains:openspec/changes/demo-change/tasks.md:npm run verify"", ""writes_only:openspec/changes/demo-change/tasks.md"", ""no_web_search""]",
